id,name,category,review_count,address,rating,rating_count,phone_number,url,appointment,delivery,package,wifi,pet,parking,nursery,smokingroom,fordisabled,operation_time
1,목구멍 율전점,"육류,고기",788,경기 수원시 장안구 화산로233번길 46 1층,4.2,16.0,0507-1464-9295,https://place.map.kakao.com/1762781450,Y,N,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '화요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '수요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '목요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '금요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '토요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '일요일': {'시작시간': '15:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}}"
2,고기굽는교실 율전3반,"육류,고기",398,경기 수원시 장안구 율전로98번길 9 성원빌딩 1층 102호,4.5,44.0,031-297-8592,https://place.map.kakao.com/29972796,Y,N,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:30', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
3,봉수육,"족발,보쌈",204,경기 수원시 장안구 율전로108번길 11 1층,4.1,69.0,,https://place.map.kakao.com/22282335,Y,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '화요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '수요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '목요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '금요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '토요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '22:00'}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
4,자명문,카페,121,경기 수원시 장안구 율전로108번길 9 율전미주타운 1층 102호,4.6,35.0,,https://place.map.kakao.com/1744478913,N,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
6,유케집 성대점,"호프,요리주점",78,경기 수원시 장안구 화산로213번길 15 태화빌딩 1층,5.0,2.0,,https://place.map.kakao.com/1498762960,Y,N,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '16:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
7,청년밥상,한식,38,경기 수원시 장안구 서부로2136번길 10 1층,3.5,41.0,031-298-1822,https://place.map.kakao.com/1300977401,N,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '화요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '수요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '목요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '금요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '토요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}, '일요일': {'시작시간': '11:00', '종료시간': '20:30', '휴게시작시간': '14:00', '휴게종료시간': '17:00', '라스트오더': '20:00'}}"
8,정성식탁,양식,88,경기 수원시 장안구 서부로2136번길 9 1층,,,0507-1338-1190,https://place.map.kakao.com/520447689,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:30', '종료시간': '20:40', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
9,명동돈까스,"돈까스,우동",11,경기 수원시 장안구 서부로2106번길 17 1층,4.2,23.0,031-297-7774,https://place.map.kakao.com/21390672,N,N,N,N,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '10:00', '종료시간': '20:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
10,플렁드,"제과,베이커리",98,경기 수원시 장안구 율전로 91 1층,4.4,36.0,031-309-1488,https://place.map.kakao.com/346317197,Y,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
11,보리네 주먹고기,"육류,고기",139,경기 수원시 장안구 율전로98번길 6-9 1층,4.4,48.0,031-295-5664,https://place.map.kakao.com/18515289,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
